systeminfo_identifier,product,feature,featureversion,binaryrating,useragent,updateddate,scaleratingmax,feedbacktext,assetalias
id:c4d780a4-97de-4e53-81d7-870605f73506,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S906U Build/SP1A.210812.016),2022-03-15T13:39:29.114Z,,,Android.App
id:95e64087-e0ce-4319-b504-31369645c70c,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G981U Build/SP1A.210812.016),2022-03-11T15:04:23.620Z,,,Android.App
id:f3b1ca83-f67d-4d90-bb48-123ee727fdb5,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-11T15:07:05.529Z,,,Android.App
id:121a627f-dfed-4ad0-92cb-664788e1bf06,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N981U Build/SP1A.210812.016),2022-03-15T13:41:06.725Z,,,Android.App
id:4cd3d443-19b8-4158-bb81-f572b241bc4a,Microsoft Office,Word,1,TRUE,25.54.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-11T15:05:42.840Z,,,Android.App
id:b849632f-05b7-4371-acc7-68bc55f26249,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N981U Build/SP1A.210812.016),2022-03-15T13:43:36.717Z,,,Android.App
id:8d44208e-7fde-4027-9ed4-5e45c2dcdd5c,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Build/SD1A.210817.037.A1),2022-03-15T13:46:52.958Z,,,Android.App
id:2dc07fe1-bd61-4250-82d6-bdfa0c76b2fd,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G986U Build/SP1A.210812.016),2022-03-08T14:11:57.177Z,,star rating,Android.App
id:7b6a5398-1f63-4813-baf7-ca815ae76f92,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-09T16:36:16.357Z,,,Android.App
id:c4bb199f-e463-4f20-a5c9-990ec8bb0880,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-A515U Build/RP1A.200720.012),2022-03-15T12:52:57.191Z,,,Android.App
id:cc3d6efd-beb3-473c-8de0-da6d922485e7,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-A426U Build/SP1A.210812.016),2022-03-09T16:53:54.055Z,,may need more info later.,Android.App
id:8a3f75a3-0bc6-43a3-89ba-b2e89db57df7,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G988U Build/SP1A.210812.016),2022-03-14T13:36:03.478Z,,,Android.App
id:abced3ab-3ecd-41b0-a5f5-2563153d4443,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-14T13:04:02.373Z,,,Android.App
id:8f68d7cf-7bc8-4016-a87b-7be6ca8dd8cb,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 8.1.0; SAMSUNG-SM-J327A Build/M1AJQ),2022-03-14T13:48:08.541Z,,,Android.App
id:9f5a73bf-97ab-40b1-bf01-be9247bbe6bb,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; Pixel 6 Pro Build/SQ1D.220205.004),2022-03-09T16:25:08.796Z,,,Android.App
id:423497d6-486d-46b6-ab7f-8dc54c7836e1,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G996U Build/SP1A.210812.016),2022-03-14T13:39:38.861Z,,,Android.App
id:223e0973-1572-429a-88bf-1919575a8235,Microsoft Office,Word,1,TRUE,25.56.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-15T12:24:01.492Z,,,Android.App
id:38bd5e58-8e1d-4640-921b-7beb41247ada,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-14T13:55:29.455Z,,,Android.App
id:f297b8a8-3cd5-40f4-896f-c1b8e2d7ce8f,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N976V Build/SP1A.210812.016),2022-03-14T13:11:41.217Z,,,Android.App
